item_code_i,item_code_j,score
5,380,0.8737297654151917
5,107,0.8454064130783081
5,426,0.836486279964447
5,207,0.8176235556602478
5,30,0.8014150857925415
5,954,0.7838951945304871
5,977,0.7252216339111328
5,10447,0.7042202353477478
6,208,1.0000001192092896
6,179,0.9714757204055786
6,976,0.9478984475135803
6,256,0.9161170125007629
6,327,0.9041379690170288
6,303,0.9041379690170288
6,926,0.8757684230804443
6,255,0.8634637594223022
6,977,0.845506489276886
9,29155,1.0000001192092896
9,232,0.8356258273124695
9,41920,0.8157821297645569
9,16951,0.8157821297645569
9,5233,0.7776841521263123
9,1445,0.7602012753486633
9,9954,0.7298704385757446
11,12628,0.7383425831794739
15,33813,0.7841238379478455
15,4487,0.7566274404525757
15,33812,0.7422968149185181
15,39391,0.7345191240310669
15,34944,0.7260788083076477
15,21749,0.7131952047348022
15,12569,0.7035207152366638
16,32710,1.0000003576278687
16,12161,0.9717215895652771
16,3112,0.9717215895652771
16,15283,0.9674139618873596
16,17258,0.9140926003456116
16,9208,0.9007887840270996
16,10973,0.8351479768753052
16,7365,0.8271026611328125
16,44972,0.8205080628395081
17,8423,0.8239942789077759
18,35620,0.8193666338920593
18,17606,0.7967633605003357
18,11620,0.7134270071983337
19,433,0.9350109696388245
21,17686,0.9370919466018677
21,16028,0.9145378470420837
21,3650,0.8734414577484131
21,37164,0.7250586152076721
21,11072,0.7141860127449036
21,12425,0.7057953476905823
23,392,0.7985901832580566
29,325,0.8829014897346497
29,226,0.8817738890647888
29,451,0.8535188436508179
29,205,0.851391077041626
29,37649,0.8029983639717102
29,298,0.8016090989112854
29,104,0.7740437984466553
30,207,0.8798976540565491
30,426,0.8753644227981567
30,954,0.8545196056365967
30,5,0.8014150857925415
30,107,0.7706872224807739
30,208,0.7408050298690796
30,6,0.7408050298690796
30,179,0.7184455394744873
30,381,0.7147571444511414
35,36899,0.878546953201294
35,29388,0.7773851752281189
35,25422,0.7468620538711548
35,7724,0.7164987325668335
35,12936,0.7005050182342529
36,26820,0.8439304232597351
36,17947,0.7648924589157104
36,23772,0.7552553415298462
36,10094,0.7369602918624878
36,26550,0.7343353033065796
36,44019,0.7187825441360474
37,27590,0.8554531931877136
37,984,0.824662983417511
37,10395,0.8042358756065369
37,37795,0.768741250038147
37,30273,0.768741250038147
37,7787,0.768741250038147
37,7783,0.768741250038147
37,37701,0.7687411308288574
37,36306,0.7687411308288574
40,41412,0.9058547616004944
43,410,0.857833743095398
43,115,0.744507372379303
43,44,0.722778856754303
44,43,0.722778856754303
47,56,0.7682969570159912
